Name,Link,Ingredients,Recipe Text
Экстра-крем-брюле,/recepty/vypechka-deserty/ekstra-krem-bryule-125517,"['Молоко', 'Куриное яйцо', 'Сахар', 'Ванильный сахар', 'Сироп крем-брюле']","1. Положите в кастрюльку 80 грамм сахара, ванильный сахар, влейте молоко и при помешивании доведите до кипения.
2. Яйца разотрите с оставшимся сахаром и влейте половину кипящего молока. Хорошо перемешайте и перелейте смесь обратно в кастрюлю.
3. Варите на небольшом огне до загустения. Смесь начнет обволакивать лопатку, а если провести по ней пальцем, останется незаплывающий след.
4. Сразу снимите крем с огня, перемешайте и добавьте сироп крем-брюле.
5. Накройте пленкой так, чтобы она лежала на поверхности крема. Остудите, а затем уберите в холодильник на несколько часов.
6. Перелейте смесь в мороженицу и замораживайте 40 минут.
7. Готовое мягкое мороженое переложите в контейнер и заморозьте."
Утренние булочки с миндалем,/recepty/vypechka-deserty/utrennie-bulochki-s-makadamiey-126492,"['Сахар', 'Жидкая глюкоза', 'Миндаль', 'Молоко', 'Ванильный стручок', 'Яичный желток', 'Пшеничная мука', 'Коричневый сахар', 'Сливочное масло', 'Мед', 'Слоеное тесто']","1. Для крема патисьер влить молоко в кастрюлю, выскрести из стручка ванили семена и добавить и стручок, и семена к молоку. Прогреть до точки закипания, затем перелить в контейнер и немного остудить. Закрыть и убрать в холодильник для настаивания минимум на 6 часов.
2. Слегка прогреть ванильное молоко на слабом огне. Влить яичные желтки в миску из нержавеющей стали и, постоянно взбивая венчиком, постепенно, понемногу за раз, всыпать 50 г сахара. Продолжая взбивать, постепенно всыпать муку и вымешать до однородности.
3. Процедить молоко и влить в яично-мучную массу. Хорошо вымешать. Перелить содержимое миски обратно в кастрюлю и довести до кипения, постоянно вымешивая деревянной ложкой. Когда крем закипит, убавить огонь и варить еще 5 минут, постоянно помешивая. Снимите с огня, остудить и перелить в плотно закрывающийся контейнер. Выложить пищевую пленку прямо на поверхность крема, чтобы она не заветрилась. Накрыть крышкой и убрать в холодильник; крем патисьер можно хранить в холодильнике до 3 дней.
4. Для пралине соединить 200 г сахара и глюкозу в кастрюле и поставить на средний огонь. Влить 200 мл воды и, помешивая, довести до кипения. При варке карамели мешать смесь только до закипания, чтобы сироп не кристаллизовался. Подготовить кисточку в мисочке с водой и смывать со стенок кастрюли кристаллики сахара, чтобы этого избежать. Варить до глубокого карамельного цвета. Снять с огня. Аккуратно всыпать миндаль, чтобы не обжечься. Влить в подготовленный противень и дать застыть.
5. Щедро смазать растительным маслом 12 углублений в формах для маффинов объемом 250 мл. Соединить все ингредиенты карамели в маленькой кастрюле и поместить на средний огонь. Помешивать до растворения сахара. Сварить светлую карамель и влить по 1 столовой ложке в каждое углубление.
6. Достать отдохнувшее тесто из холодильника и раскатать в прямоугольник около 35×50 см толщиной около 2,5 мм. На это понадобится много энергии, потому что тесто будет сжиматься и сопротивляться. Если оно очень неподатливое, убрать его в холодильник еще на 10 минут, затем продолжить раскатывание. Возможно, тесту нужно будет дать отдохнуть еще несколько раз. Когда пласт теста станет слишком большим для холодильника, просто сложить его пополам и выложить на поднос.
7. Выложить тесто на слегка присыпанную мукой поверхность, короткой стороной к себе. Ровным слоем смазать тесто кремом патисьер (его понадобится 100 г на все булочки), оставив свободными 2 см у дальнего края. Посыпать пралине и орехами. Свернуть в рулет движением от себя и нарезать кружочками толщиной 4 см. Выложить заготовки в углубления форм для маффинов.
8. Неплотно накрыть заготовки влажным кухонным полотенцем или марлей. Оставить в тепле для расстойки (при 26–28 °С) на 2 часа, до увеличения в размере почти вдвое. Время от времени увлажнять полотенце или
марлю, когда они будут высыхать.
9. Разогреть духовку до 200 °С. Убавить температуру до 170 °С и выпекать 15–17 минут. Пока булочки еще теплые, смазать их оставшейся карамелью. Дать немного остыть в формах перед подачей, чтобы они держали форму."
Оливье с копченой уткой,/recepty/salaty/olive-s-kopchenoy-utkoy-138068,"['Отварной картофель', 'Отварная морковь', 'Соленые огурцы', 'Соль', 'Копченая утиная грудка', 'Лук-шалот', 'Зеленый горошек', 'Куриное яйцо', 'Перепелиное яйцо', 'Яичный желток', 'Горчица', 'Оливковое масло', 'Растительное масло', 'Яблочный уксус', 'Сахар']","1. Приготовить майонез: желтки положить в миску, добавить соль, сахар, горчицу. Все ингредиенты хорошо перемешать при помощи миксера.
2. Аккуратно ввести в желтковую смесь растительное масло, одновременно взбивая смесь миксером. Затем повторить то же самое с оливковым маслом.
3. Когда смесь станет густой, влить уксус и продолжить взбивание до нужной консистенции. Готовый майонез убрать в холодильник.
4. Вареный картофель, вареную морковь, лук-шалот, соленые огурцы, филе бедра утки и вареное куриное яйцо нарезать мелким кубиком 0,5х0,5 см. Смешать с майонезом, добавить горошек, соль и перец по вкусу.
5. Выложить салат на тарелку с помощью кулинарного кольца. Украсить тонкими ломтиками копченой утки, рубленым луком-сибулет и перепелиным яйцом."
Оливковая паста с грецкими орехами,/recepty/zakuski/olivkovaja-pasta-s-greckimi-orehami-34967,"['Грецкие орехи', 'Оливки каламата', 'Чеснок', 'Оливковое масло', 'Зернистая дижонская горчица', 'Свежий тимьян', 'Свежие листья орегано', 'Свежий шалфей', 'Молотый кайенский  перец']","1. Грецкие орехи обжарить и некрупно нарубить.
2. С помощью кухонного комбайна измельчить маслины и три столовых ложки грецких орехов, добавить оливковое масло и горчицу, чеснок, тимьян, орегано и шалфей, щепотку кайенского перца, превратить все это в пасту достаточно грубой текстуры, затем вмешать оставшиеся грецкие орехи. Пасту мож­но хранить в холодильнике три дня.
3. Подавать, например, с багетом: нарезать его, ломтики слегка смазать оливковым маслом и запечь в духовке при температуре 180 градусов до золотистого цвета."
Борщ с телятиной и черносливом,/recepty/supy/borsch-s-telyatinoy-i-chernoslivom-151545,"['Говядина с костями', 'Вода', 'Куриный бульон', 'Свекольный сок', 'Белокочанная капуста', 'Картофель', 'Морковь', 'Свекла', 'Томатная паста', 'Растительное масло', 'Репчатый лук', 'Квашеная капуста', 'Сладкий перец', 'Чеснок', 'Чернослив', 'Сметана', 'Молотый кориандр', 'Лавровый лист', 'Сахар', 'Морская соль', 'Молотый черный перец']","1. Отварить говядину на кости. Отделить ее от бульона и нарезать мясо небольшими кусочками.
2. Смешать говяжий и куриные бульоны в пропорции 1/1. Добавить кориандр, соль, перец и оставить на небольшом огне.
3. Нарезать соломкой морковь и болгарский перец, мелко — репчатый лук, натереть на мелкой терке свеклу.
4. Выложить овощи на разогретую и смазанную оливковым маслом сковороду. Обжарить, медленно помешивая. Добавить томатную пасту к овощам и немного потомить.
5. Кубиками нарезать картофель и добавить в бульон. Следом нарезать соломкой свежую капусту и добавить ее и квашеную капусту в бульон.
6. Минут через 5 добавить в бульон приготовленные лук, морковь, перец и свеклу, медленно помешивая. Влить в бульон свекольный сок для цвета. Добавить говядину и подержать на небольшом огне еще 5 минут.
7. При подаче выложить борщ в тарелку, добавить к нему небольшие кусочки чернослива и украсить мелконарезанной зеленью. Подавать со сметаной."
Панна-котта с оливковой карамелью и грушей в сиропе,/recepty/vypechka-deserty/panna-kotta-s-olivkovoy-karamelyu-i-grushey-v-sirope-125570,"['Молоко', 'Сливки 30%-ные', 'Сахар', 'Желатин в пластинах', 'Ванильный экстракт', 'Белый шоколад', 'Сироп из глюкозы', 'Маслины без косточек', 'Белое сухое вино', 'Палочки корицы', 'Анис (бадьян)', 'Кардамон', 'Апельсины', 'Шафран']","1. В 250 миллилитрах ледяной воды размочить желатин.
2. Соединить молоко и сливки, прогреть. Добавить 30 г сахара и ванилин. Прогреть, практически довести до кипения. Добавить в смесь шоколад. Пробить смесь миксером.
3. Остудить смесь до 60 градусов. Добавить в молочную смесь отжатый желатин. Хорошо перемешать.
4. Панна котту охладить на ледяной бане или в миске со льдом до консистенции желе, а затем влить в формочки объемом 120 мл. Формочки заранее можно сбрызнуть маслом. Панна котту лучше чуть не долить до края формы. Убрать в холодильник на три часа.
5. Приготовить оливковую карамель. Пробить маслины в пюре. Растопить на среднем огне 200 грамм сахара и глюкозу. Периодически надо обмазывать мокрой кисточкой края сотейника, чтобы сахар не закристаллизовался. Когда сахар и глюкоза превратятся в золотистую карамель, добавить туда аккуратно 50 мл холодной воды, быстро размешать.
6. Немного охладить карамель, добавить туда пюре из маслин и варить на слабом огне две-три минуты. Снять с огня и дать остыть.
7. Протереть остывшую карамель через сито.
8. Приготовить грушу в сиропе. Грушу очистить от кожуры. Разрезать пополам, вырезать сердцевину. Положить грушу в холодную воду с лимоном. Тем временем сварить сироп: прогреть корицу, бадьян, кардамон и цедру одного апельсина в сотейнике. Добавить вино, шафран, сок апельсина и сахар. Когда сахар растворится и смесь закипит, положить груши в сироп так, чтобы они были полностью закрыты. Накрыть сироп пергаментом, чтобы груши парились в сиропе. Варить 8 минут, после этого плиту выключить и дать остыть до комнатной температуры.
9. Панна котту выложить в тарелку из формочки, перевернув формочку. Украсить панна котту оливковой карамелью и половинкой груши, нарезанной веером. При желании можно украсить панна котту малиновой смоквой из магазина."
Окорок с петрушкой,/recepty/osnovnye-blyuda/okorok-s-petrushkoy-57360,"['Шампиньоны', 'Белый лук', 'Соленое сливочное масло', 'Оливковое масло', 'Вода', 'Яичный белок', 'Желатин в пластинах', 'Соль', 'Лук-шалот', 'Оливковое масло extra virgin', 'Вареный окорок', 'Петрушка', 'Каперсы', 'Эстрагон', 'Корнишоны', 'Молотый черный перец']","1. Сварить бульон из шампиньонов. Почистить шампиньоны и лук. Обжарить мелко нарезанный лук на смеси сливочного и оливкового масел на очень слабом огне в течение 3–4 минут. Добавить половину нарезанных ломтиками шампиньонов и обжаривать еще 5 минут. Добавить воду и варить около 30 минут. Процедить, слегка посолить и дать остыть. Слить почти остывший бульон в кастрюлю. Осветлить бульон: порубить оставшиеся шампиньоны, смешать их в миске с яичными белками и добавить эту смесь к бульону. Довести до кипения, а затем варить на очень слабом огне 10 минут. Осторожно процедить получившуюся жидкость через покрытый чистой тканью дуршлаг. Замочить желатин в ледяной воде, чтобы размягчить его. Отлить 250 мл горячего бульона и ввести в него тщательно отжатый желатин. При необходимости посолить или
поперчить по вкусу. Отставить в сторону.
2. Почистить и мелко порубить лук-шалот. 3–4 минуты, непрерывно помешивая, обжаривать его в кастрюле на оливковом масле, на слабом огне, не подрумянивая. Слить масло, лук отставить на некоторое время. Нарезать окорок мелкими кубиками, мелко порубить травы, затем нарезать кубиками корнишоны. В миске осторожно смешать лук-шалот, окорок, травы, каперсы и корнишоны. Разложить смесь в формочки. Сверху
выложить почти остывшее желе из шампиньонов. Поставить формочки в холодильник на 2 часа, чтобы желе «схватилось».
3. Вынуть окорок из формочек и сервировать. Можно подать к окороку крутоны."
Нагатинский борщ,/recepty/supy/nagatinskiy-borsch-140121,"['Говяжьи кости', 'Говяжьи голяшки', 'Репчатый лук', 'Морковь', 'Лавровый лист', 'Гвоздика', 'Черный душистый перец', 'Соль', 'Свекла', 'Измельченные помидоры в собственном соку', 'Чеснок', 'Сахар', 'Уксус 9%-ный', 'Растительное масло', 'Укроп', 'Белокочанная капуста', 'Сметана']","1. Кости и голяшку залить холодной водой — примерно 8 л. Если такого объема нет, можно все составляющие разделить пропорционально в меньшую сторону. Довести до легко кипения и продолжать варить на медленном огне, не давая кипеть. Постоянно удалять пену и жир, который будет обильно высвобождаться из костного мозга.
2. Как только этот процесс прекратится, то есть примерно через 40–60 минут, можно добавить овощи произвольной нарезки — чем мельче они нарезаны, тем быстрее они отдадут аромат в бульон. Специи и соль (по вкусу) можно добавить в этот же момент.
3. Продолжать варить в режиме, когда бульон почти кипит, еще около 3 часов. Потом достать трубчатые кости, ложкой вытряхнуть оставшееся содержимое костного мозга в кастрюлю, кости выбросить. С голяшки отделить мясо и отложить его отдельно. Бульон хорошо размешать и процедить.
4. Одну луковицу нарезать максимально мелко. Морковь натереть на мандолине или терке. Свеклу тоже натереть, после этого сбрызнуть ее уксусом (можно лимоном).
5. Разогреть сковороду или кастрюлю с толстым дном. Начать жарить на растительном масле с моркови, аккуратно, постоянно помешивая, не допуская подгорания. После того, как морковь немного обмякла, добавить мелконарезанный лук и быстро все перемешать — он может начать гореть. Дать всему прожариться примерно 2 минуты. Потом смесь моркови и лука откинуть в отдельную миску.
6. Подлить немного масла в сковородку и забросить свеклу. Свеклу томить, помешивая, минут 10, добавить сахар, еще помешать, высыпать смесь лука и моркови, протертые томаты, мелкорубленый чеснок и оставить томиться на очень медленном огне под закрытой крышкой. Спустя 40 минут будет готова зажарка.
7. Поставить на плиту кастрюлю с бульоном, довести до кипения, забросить нашинкованную капусту, на слабом огне проварить около 15 минут.
8. Добавить на глаз нужное количество зажарки и 2 пышные веточки укропа. Держать в режиме, когда суп почти кипит, потом попробовать на соль и сахар, отрегулировать вкус так, пока не станет казаться, что соли достаточно, но нужно еще чуть-чуть.
9. Продолжать держать в режиме, когда суп почти кипит, еще минут 20, затем снять с плиты. Можно есть сразу, но лучше оставить суп настояться часов на 5.
10. Перед подачей прогреть, в тарелки нарвать уже готовое мясо с голяшки, положить 1 ложку сметаны, 2 веточки укропа и есть в прикуску с зубчиком чеснока и черным хлебом с солью."
Итальянский суп с сосисками,/recepty/supy/italjanskij-sup-s-sosiskami-14937,"['Оливковое масло', 'Сосиски', 'Репчатый лук', 'Чеснок', 'Куриный бульон', 'Консервированные помидоры', 'Макароны', 'Консервированная фасоль']","1. Обжариваем в кастрюле сосиски, пока они не зарумянятся. Перекладывем сосиски в миску.
2. В той же кастрюле в масле нарезанный лук пассеруем, чтобы он стал золотистым. Добавляем очень мелко нарубленный чеснок, готовим еще 1 минуту, добавляем размятые  ложкой помидоры.
3. Добавляем куриный бульон, доводим до кипения, уменьшаем огонь и, закрыв крышкой, варим 25 минут.
4. В суп добавляем консервированную белую фасоль, жареные сосиски и предварительно сваренные мелкие макароны. Подаем горячим, можно с пармезаном."
Осьминог с артишоком и томатно-мятным соусом,/recepty/osnovnye-blyuda/osminog-s-artishokom-tomatno-mjatnim-sousom-31896,"['Артишоки', 'Щупальце осьминога', 'Помидоры', 'Морковь', 'Чеснок', 'Оливковое масло', 'Белое сухое вино', 'Тимьян', 'Свежая мята', 'Лимонный сок', 'Соль', 'Молотый черный перец', 'Помидоры черри']","1. Отрезать верхушку у артишока так, чтобы его можно было плотно поставить на доску. Срезать жесткие внешние листья, затем удалить и выбросить ворсистую сердцевину и несколько внутренних лиловых листьев, отрезать стебель. Полить все срезы лимонным соком и положить в миску с холодной водой.
2. Морковь очистить и нарезать мелкими кубиками. Помидоры бланшировать в кипящей воде, затем очистить от кожицы и два из них точно так же нарезать. В самую последнюю очередь нарезать артишок. Щупальца осьминога положить в сотейник, залить водой и поставить вариться на среднем огне на двадцать — двадцать пять минут.
3. В небольшой сковороде разогреть оливковое масло, бросить кубики артишока, добавить лимонный сок (его можно выжать прямо руками из половинки лимонной дольки), перемешать и поджарить в течение пары минут.
4. Добавить к артишоку морковь и помидоры, соль, черный перец, тимьян и измельченный чеснок, перемешать и жарить все вместе еще две минуты. Затем влить вино и на слабом огне дать жидкости выкипеть. Неплохо, если овощи сохранят форму и плотность.
5. В чашу блендера положить оставшийся очищенный от кожицы помидор, добавить листья мяты (оставив несколько штук для украшения) и взбить до однородного состояния. Вареного осьминога откинуть на дуршлаг и обсушить.
6. Обжарить осьминога в небольшой сковороде на оливковом масле со всех сторон в течение трех-четырех минут до появления легкого золотистого оттенка (жарить долго осьминога не стоит, иначе он станет жестким).
7. На сервировочные тарелки выложить по две столовые ложки овощной смеси, сверху на каждую порцию аккуратно выложить поджаренное щупальце осьминога.
8. Полить каждую порцию небольшим количеством соуса из помидора и мяты, а сверху посыпать измельченными листьями мяты. И сразу подавать."
Спагетти с мясными шариками в томатном соусе,/recepty/pasta-picca/spagetti-s-mjasnimi-sharikami-v-tomatnom-souse-33485,"['Репчатый лук', 'Говяжий фарш', 'Помидоры', 'Молотый черный перец', 'Томатная паста', 'Морская соль', 'Спагетти', 'Куриное яйцо', 'Пшеничная мука']","1. Спагетти: наполнить кастрюлю водой, поставить на огонь. Помните золотую пропорцию для отваривания спагетти: 1000 мл воды/100 грамм спагетти/10 грамм соли.
2. Фрикадельки: лук мелко порубить, смешать с мясом, солью и перцем, добавить яйцо, скатать в шарики, обвалять в муке.
3. На сковороду налить подсолнечное масло, слегка обжарить фрикадельки, добавить помидоры, потушить. Томатную пасту развести с водой, добавить к остальным ингредиентам. Добавить специи: перец, соль, смесь итальянских трав (можно положить свежий базилик). В соус можно добавить еще что-нибудь, например, я добавляю перец.
4. Спагетти отварить до готовности, слить воду, добавить капельку оливкового или сливочного масла (это кто как любит), слегка посолить.
5. Подавать смешанными в глубокой тарелке."
"Холодный манговый суп с форелью, голубикой и базиликом",/recepty/supy/holodnyi-mangovyi-sup-s-forelyu-golubikoi-i-bazilikom--151031,"['Манговое пюре', 'Филе форели', 'Свежевыжатый сок лайма', 'Базилик', 'Голубика', 'Оливковое масло', 'Соль', 'Молотый черный перец']","1. Филе форели нарезать на крупные кубики. Посолить. Быстро обжарить на разогретой сковороде.
2. В глубокую емкость переложить манговое пюре, добавить свежий сок лайма. Перемешать.
3. Пюре перелить в глубокие тарелки. Выложить обжаренные кусочки рыбы. Украсить ягодами голубики и листиками базилика. Посолить по вкусу, капнуть несколько капель оливкового масла."
Традиционные спагетти болоньезе,/recepty/pasta-picca/tradicionnye-spagetti-boloneze-19516,"['Оливковое масло', 'Чеснок', 'Репчатый лук', 'Морковь', 'Стебель сельдерея', 'Красное сухое вино', 'Говяжий фарш', 'Говяжий бульон', 'Сахар', 'Консервированные помидоры', 'Рубленая петрушка', 'Спагетти', 'Тертый сыр пармезан']","1. Разогрейте оливковое масло в большой сковороде и добавьте измельченные чеснок, лук, морковь и сельдерей. Тушите на маленьком огне 5 минут до мягкости овощей.
2. Увеличьте огонь и добавьте мясо. Перемешайте деревянной лопаткой, разломав комочки. Добавьте бульон, вино, помидоры, сахар и петрушку. Доведите до кипения, уменьшите огонь и тушите 1,5 часа, иногда помешивая. Посолите и добавьте специи.
3. Перед подачей сварите спагетти, слейте и подавайте с соусом и пармезаном."
Ньокки из манки с креветками,/recepty/pasta-picca/nokki-iz-manki-s-krevetkami-138416,"['Манная крупа', 'Мука манитоба', 'Мука семола', 'Яичный желток', 'Куриный бульон', 'Лук-шалот', 'Чеснок', 'Очищенные креветки', 'Оливковое масло', 'Сливочное масло', 'Тертый сыр пармезан', 'Лук-сибулет', 'Соль']","1. Смешать манку, манитобу, семолу, желтки и 5 грамм соли, заварить 130 мл горячей воды, вымешать миксером и дать настояться от часа до полутора в холодильнике под пленкой. Сформовать из теста шарики весом по 1–2 грамма и бросить в муку, чтобы в процессе они не слиплись.
2. Выложить в сковороду измельченные шалот и чеснок, залить бульоном, довести до кипения и снять с огня.
3. Креветки быстро обжарить на оливковом масле и переложить в чистую посуду.
4. Просеять ньокки от муки, бросить их в кипящую подсоленную воду и варить 6–7 минут.
5. Винную базу довести до кипения, выложить туда готовые ньокки, посолить немного, добавить сливочное масло и выпарить жидкость до состояния эмульсии. Добавить пармезан и растворить до кремовой консистенции, постоянно помешивая (не на огне). Добавить половину жареных креветок и мелко рубленный сибулет, хорошо вымешать и выложить в тарелки. Сверху выложить оставшуюся часть креветок, посыпать свежим сибулетом."
Ложная килька в томате (пшеничная каша в томатном соусе с муссом из тунца),/recepty/zavtraki/lozhnaya-kilka-v-tomate-pshenichnaya-kasha-v-tomatnom-souse-s-mussom-iz-tunca-137413,"['Пшеничная крупа', 'Томатный соус', 'Стружка тунца', 'Сливочное масло', 'Консервированный тунец', 'Растительное масло', 'Анчоусы', 'Белое вино', 'Сливки 22%-ные', 'Домашний майонез', 'Консервированные помидоры', 'Репчатый лук', 'Вода', 'Сахар']","1. В подсоленной кипящей воде отварить пшеничную кашу в течение 15 минут. Слить воду.
2. Приготовить мусс из тунца (соус тонато). Тунец, растительное масло, анчоусы, вино, сливки и майонез поместить в чашу для блендера и взбить до однородной консистенции.
3. Приготовить томатный соус. Консервированные томаты (без кожицы) протереть и взбить в блендере. Перелить в кастрюлю, добавить мелко нарезанный лук и варить на мелком огне, уварив томаты на 1/3. После чего добавить соль и сахар по вкусу.
4. В томатный соус добавить пшеничную кашу, сливочное масло и прогреть. Довести до вкуса солью и перцем.
5. Выложить на тарелку готовую кашу, рядом сервировать соус тонато.
6. При подаче посыпать кашу стружкой тунца."
Зразы из гречки с зеленым луком и яйцом,/recepty/osnovnye-blyuda/zrazy-iz-grechki-s-zelenym-lukom-i-yaycom-174745,"['Гречневая крупа', 'Куриное яйцо', 'Сметана', 'Панировочные сухари', 'Пшеничная мука', 'Растительное масло', 'Зеленый лук', 'Молотый черный перец', 'Соль']","1. Гречневую крупу выложить в кастрюлю, залить 2 стаканами горячей воды, посолить.
2. Довести до кипения, уменьшить огонь и варить 20 минут.
3. Выключить огонь, накрыть кастрюлю крышкой и оставить настояться еще на 20 минут.
4. Выложить гречневую крупу в миску, разбить яйцо и добавить сметану.
5. Измельчить блендером в пюре.
6. Добавить муку и хорошо перемешать.
7. Яйцо отварить вкрутую, очистить и нарезать мелкими кубиками.
8. Зеленый лук мелко нарезать и смешать с яйцом. Посолить и поперчить.
9. Сформировать из гречневой массы лепешки, положить в центр яичную начинку и сформировать вытянутые зразы, запечатав начинку внутри.
10. Обвалять зразы в панировочных сухарях.
11. Разогреть в сковороде растительное масло и обжарить зразы со всех сторон до золотистой корочки."
Винегрет с килькой,/recepty/salaty/vinegret-s-kilkoy-104179,"['Зеленый горошек', 'Килька пряного посола', 'Молоко', 'Растительное масло', 'Картофель', 'Морковь', 'Свекла', 'Репчатый лук', 'Укроп', 'Соль']","1. Картофель, свеклу и морковь обернуть фольгой и отправить в духовку разогретую до 200 градусов.
2. Запекать овощи до мягкости. На это уйдет от 40 минут до полутора часов, в зависимости от размера овощей.
3. Бланшировать горошек в подсоленной кипящей воде в течение минуты.
4. Готовые овощи очистить и нарезать небольшим кубиком.
5. Так же нарезать лук.
6. У укропа удалить толстые стебли, а веточки порубить.
7. Смешать подготовленные овощи, горошек и укроп, заправить салат маслом и посолить.
8. Прежде чем дополнить порцию обычного винегрета пикантной соленой рыбкой, ее надо слегка подготовить.
9. Удаляем у кильки голову, внутренности, плавники. Пальцами отделяем филе от хребта. Если килька слишком соленая, можно вымочить ее в молоке в течение нескольких часов.
10. Очищенное и вымоченное (при необходимости) филе кладем в миску и поливаем растительным маслом. Через пару часов килька может украсить самый популярный русский салат.
11. Взять готовый салат и украсить рыбой."
Феттучини со сливочным соусом,/recepty/pasta-picca/fettuchini-so-slivochnim-sousom-20655,"['Паста феттучини', 'Куриная грудка', 'Сливки 25%-ные', 'Морская соль', 'Молотый черный перец']","1. Поставить воду кипятиться. Тем временем налить в сковороду  сливок (желательно сливки должны быть густыми, например, 23%-ные), посолить, поперчить, бросить нарезанную курицу (предварительно пожаренную или запеченную, в зависимости от ваших вкусовых предпочтений). Пусть весь этот соус томится на среднем огне, пока не начнет булькать редкими пузырьками.
2. Подсолить кипящую воду и варить спагетти 6 минут."
Московский борщ с копченостями,/recepty/supy/moskovskiy-borsch-s-kopchenostyami-151536,"['Репчатый лук', 'Морковь', 'Свекла', 'Квашеная капуста', 'Свиные копченые ребра', 'Курица', 'Ветчинная кость', 'Сосиски', 'Краковская колбаса', 'Томатная паста', 'Свиной жир', 'Растительное масло', 'Укроп', 'Молотый черный перец', 'Лавровый лист', 'Соль']","1. Лук и морковь нарезать мелкими кубиками, свеклу нарезать соломкой.
2. Обжарить нарезанные овощи на свином жире до полуготовности, подлить горячей воды, посолить и тушить до полной готовности.
3. В отдельной глубокой сковороде или сотейнике потушить тщательно промытую и отжатую капусту. Капуста должна стать мягкой и полностью поменять свой цвет, поэтому лучше тушить ее долго и на слабом огне.
4. В большой кастрюле сварить бульон из курицы или говяжьей грудинки с добавлением (если есть) ветчинной кости, которую перед приготовлением нужно разрубить. Варить примерно 2 часа, после чего процедить бульон и достать из него кости и мясо.
5. Снять оболочку с колбасы и сосисок и нарезать кружочками. Ребра разрезать по одному и порубить на две-три части.
6. В кипящий бульон положить овощи и тушеную капусту, сосиски, колбасу, ребра, лавровый лист, перец. Варить примерно полчаса.
7. На небольшой сковороде обжарить на растительном масле томатную пасту в течение 2–3 минут. Добавить ее в борщ.
8. Мелко порубить чеснок и укроп и отправить их в кастрюлю за 10 минут до готовности.
9. Подавать московский борщ с несладкими ватрушками."
