Name,Link,Type,Kitchen,Recipe,Ingredient_num,Portion_num,Time,Likes,Dislikes,Bookmarks
Фарфалле с хлебными крошками и чесноком,/recepty/pasta-picca/farfalle-s-hlebnimi-kroshkami-chesnokom-29223,Паста и пицца,Итальянская кухня,,8,4,20 минут,33,1,966
Салат из овощей с имбирно-чесночным соусом,/recepty/salaty/salat-iz-ovoshhej-s-imbirno-chesnochnim-sousom-33841,Салаты,Китайская кухня,Веганская еда,16,2,15 минут,18,1,913
Кукурузная каша с грибами и шафраном,/recepty/zavtraki/kukuruznaja-kasha-s-gribami-shafranom-23333,Завтраки,Мексиканская кухня,,11,6,15 минут,30,6,913
Суп с макаронами и песто,/recepty/supy/sup-s-makaronami-pesto-16212,Супы,Итальянская кухня,,10,6,15 минут,30,1,857
Рождественский «Пунш епископа» по рецепту Джейми Оливера,/recepty/napitki/rozhdestvenskiy-punsh-episkopa-po-receptu-dzheymi-olivera-151798,Напитки,Британская кухня,Пошаговые рецепты,11,8,1 час,4,0,38
Джем из помидоров,/recepty/zagotovki/marmelad-iz-pomidorov-139613,Заготовки,Итальянская кухня,Пошаговые рецепты,9,10,25 минут,2,0,37
Ленивые голубцы с фаршем и рисом,/recepty/osnovnye-blyuda/lenivye-golubcy-s-farshem-i-risom-174507,Основные блюда,Русская кухня,Пошаговые рецепты,11,6,1 час  30 минут,3,0,29
Классическое харчо,/recepty/supy/klassicheskoe-harcho-187616,Супы,Грузинская кухня,Пошаговые рецепты,14,8,3 часа,3,0,27
Московский борщ,/recepty/supy/moskovskiy-borsch-137847,Супы,Русская кухня,Пошаговые рецепты,16,10,40 минут,1,0,25
"Рис с мускатным орехом, корицей и чесночными чипсами",/recepty/osnovnye-blyuda/ris-s-muskatnim-orehom-koricej-chesnochnimi-chipsami-29220,Основные блюда,Индийская кухня,Веганская еда,8,4,50 минут,23,8,628
Крем-суп с кинзой и креветками,/recepty/supy/krem-sup-s-kinzoj-krevetkami-24270,Супы,Европейская кухня,,13,4,35 минут,16,3,627
Луковый конфитюр с белым луком,/recepty/zakuski/lukovyy-konfityur-s-belym-lukom-151435,Закуски,Французская кухня,Пошаговые рецепты,8,4,45 минут,1,0,23
Сырный суп с курицей,/recepty/supy/syrnyy-sup-s-kuricey-175464,Супы,Русская кухня,Пошаговые рецепты,13,6,45 минут,2,0,28
Лапша из кабачка с помидорами и грецкими орехами,/recepty/salaty/lapsha-iz-kabachka-s-pomidorami-i-greckimi-orehami-152621,Салаты,Авторская кухня,Вегетарианская еда,10,4,25 минут,3,0,22
Чили кон карне,/recepty/osnovnye-blyuda/chili-kon-karne-30679,Основные блюда,Мексиканская кухня,,19,6,3 часа,42,4,678
Зеленые равиоли с тыквой и соусом из шалфея,/recepty/pasta-picca/zelenie-ravioli-s-tikvoj-sousom-iz-shalfeja-20756,Паста и пицца,Итальянская кухня,,11,6,2 часа,8,0,547
Куриные наггетсы по-домашнему с соусом гауда,/recepty/zakuski/kurinie-naggetsi-po-domashnemu-s-sousom-gauda-56705,Закуски,Американская кухня,,13,4,1 час  15 минут,18,2,633
Крок-мадам,/recepty/zakuski/krok-madam-31232,Закуски,Французская кухня,,11,4,35 минут,28,3,628
"Рыбный суп с сардинами, овощами и вермишелью",/recepty/supy/rybnyy-sup-s-sardinami-ovoschami-i-vermishelyu-138734,Супы,Русская кухня,Пошаговые рецепты,9,6,30 минут,2,0,24
Крабовый салат с огурцами и дайконом,/recepty/salaty/krabovyy-salat-s-ogurcami-i-daykonom-152622,Салаты,Паназиатская кухня,Пошаговые рецепты,10,4,20 минут,4,0,24
Пончики из тыквы,/recepty/vypechka-deserty/ponchiki-iz-tikvi-52797,Выпечка и десерты,Авторская кухня,,10,12,30 минут,15,2,503
Щи из молодой капусты с побегами чеснока,/recepty/supy/schi-iz-molodoj-kapusti-s-pobegami-chesnoka-28366,Супы,Русская кухня,,17,10,2 часа,19,3,481
Средиземноморский томатный суп с кальмарами,/recepty/supy/sredizemnomorskiy-tomatnyy-sup-s-kalmarami-153150,Супы,Средиземноморская кухня,Пошаговые рецепты,14,2,30 минут,3,0,22
Универсальный сливочный соус,/recepty/sousy-marinady/universalnyy-slivochnyy-sous-152266,Соусы и маринады,Французская кухня,Пошаговые рецепты,7,8,30 минут,3,1,22
"Тосты с бородинским хлебом, иваси, рисом и яйцом",/recepty/sendvichi/tosty-s-borodinskim-hlebom-ivasi-risom-i-yaycom-138733,Сэндвичи,Пошаговые рецепты,,6,4,50 минут,2,0,18
Классический оливье с говядиной,/recepty/salaty/klassicheskiy-olive-s-govyadinoy-175167,Салаты,Русская кухня,Пошаговые рецепты,12,8,30 минут,2,0,18
Вишневый кисель,/recepty/napitki/vishnevij-kisel-47810,Напитки,Украинская кухня,,4,6,15 минут,18,1,538
Паста а-ля карбонара с сосисками,/recepty/pasta-picca/pasta-a-lya-karbonara-s-sosiskami-173858,Паста и пицца,Итальянская кухня,Детское меню,7,4,30 минут,2,0,16
Рулет «Селедка под шубой»,/recepty/salaty/rulet-seledka-pod-shuboy-187798,Салаты,Русская кухня,Пошаговые рецепты,9,8,1 час,5,0,15
Легкий салат с кальмарами,/recepty/salaty/legkiy-salat-s-kalmarami-153149,Салаты,Паназиатская кухня,Пошаговые рецепты,12,2,20 минут,1,0,15
Салат пак-чой,/recepty/zakuski/salat-pak-choj-40766,Закуски,Китайская кухня,Вегетарианская еда,8,2,15 минут,14,1,405
Макароны карри с консервированной скумбрией и шпинатом,/recepty/vypechka-deserty/makarony-karri-s-konservirovannoy-skumbriey-i-shpinatom-138915,Выпечка и десерты,Русская кухня,Пошаговые рецепты,10,3,30 минут,2,0,18
Морковный суп с мандаринами,/recepty/supy/morkovnij-sup-s-mandarinami-47843,Супы,Европейская кухня,,8,5,45 минут,31,3,476
Картофельное пюре с васаби и шпинатом,/recepty/osnovnye-blyuda/kartofelnoe-pyure-s-vasabi-i-shpinatom-175436,Основные блюда,Авторская кухня,Пошаговые рецепты,7,4,1 час,2,0,15
Роллы «Филадельфия»,/recepty/osnovnye-blyuda/rolly-filadelfiya-186982,Основные блюда,Американская кухня,,13,12,1 час  30 минут,1,0,5
Паста с шалфеем,/recepty/pasta-picca/pasta-s-shalfeem-152632,Паста и пицца,Итальянская кухня,Вегетарианская еда,6,5,20 минут,1,0,14
Салат с теплыми белыми грибами и подвяленными томатами,/recepty/salaty/salat-s-teplimi-belimi-gribami-33847,Салаты,Итальянская кухня,,11,2,20 минут,9,1,374
Табуле из киноа с тыквой,/recepty/salaty/tabule-iz-kinoa-s-tykvoy-151570,Салаты,Авторская кухня,Пошаговые рецепты,12,3,45 минут,2,0,14
Малиновый мармелад,/recepty/vypechka-deserty/malinovyy-marmelad-126643,Выпечка и десерты,Русская кухня,Пошаговые рецепты,6,20,30 минут,2,0,14
Картофельно-чесночный суп с щавелевым песто,/recepty/supy/kartofelno-chesnochnij-sup-s-shhavelevim-pesto-38134,Супы,Европейская кухня,,17,6,30 минут,11,0,434
Черные спагетти с соусом из помидо­ров и каракатиц,/recepty/pasta-picca/chernie-spagetti-s-sousom-iz-pomido-rov-karakatic-31639,Паста и пицца,Итальянская кухня,,11,4,15 минут,11,0,354
Икра из грибов,/recepty/zakuski/ikra-iz-gribov-138554,Закуски,Одесская кухня,Пошаговые рецепты,8,4,1 час,1,0,13
Лапша из кальмара,/recepty/zakuski/lapsha-iz-kalmara-47827,Закуски,,,10,4,20 минут,13,2,421
Ирландское рагу,/recepty/osnovnye-blyuda/irlandskoe-ragu-57027,Основные блюда,Ирландская кухня,,16,8,3 часа,10,2,418
Груши в хересе,/recepty/vypechka-deserty/grushi-v-herese-151704,Выпечка и десерты,Советская кухня,Пошаговые рецепты,4,4,1 час,2,0,13
Фарфалле с соусом из фенхеля и базилика,/recepty/pasta-picca/farfalle-s-sousom-iz-fenhelya-i-bazilika-26582,Паста и пицца,Итальянская кухня,,10,6,12 минут,12,3,345
Картофель со шкварками,/recepty/osnovnye-blyuda/kartofel-so-shkvarkami-21494,Основные блюда,Украинская кухня,,6,4,40 минут,22,0,337
Варенье из инжира,/recepty/zagotovki/varene-iz-inzhira-139717,Заготовки,Мировая кухня,Пошаговые рецепты,5,40,1 сутки,2,0,12
Полента с креветками,/recepty/rizotto/polenta-s-krevetkami-43002,Ризотто,Итальянская кухня,Пошаговые рецепты,15,4,1 час,2,0,86
Классический чили кон карне,/recepty/osnovnye-blyuda/klassicheskij-chili-kon-karne-41370,Основные блюда,Мексиканская кухня,,13,4,1 час  10 минут,5,4,317
"Оливье с печеным картофелем, курицей и говяжьим языком",/recepty/salaty/olive-s-pechenim-kartofelem-kuricej-i-govjazhim-jazikom-55891,Салаты,Авторская кухня,,18,2,30 минут,9,3,285
"Свинина, тушенная в красном игристом вине",/recepty/osnovnye-blyuda/svinina-tushennaja-v-krasnom-igristom-vine-19290,Основные блюда,,,14,6,3 часа,13,1,289
Вареная говядина с острым лимонно-чесночным бульоном,/recepty/osnovnye-blyuda/varenaja-govjadina-s-ostrim-limonno-chesnochnim-bulonom-15662,Основные блюда,Русская кухня,,18,8,4 часа,9,1,281
Ягодный суп,/recepty/supy/jagodnij-sup-31985,Супы,Русская кухня,,10,4,15 минут,10,3,338
Двойная панна-котта с ирландским ликером,/recepty/vypechka-deserty/dvoynaya-panna-kotta-s-irlandskim-likerom-138637,Выпечка и десерты,Пошаговые рецепты,,5,4,15 минут,1,0,10
Салат с курицей и ананасами классический,/recepty/salaty/salat-s-kuricey-i-ananasami-klassicheskiy-187681,Салаты,Европейская кухня,Пошаговые рецепты,9,2,30 минут,1,0,10
Клюквенно-малиновый чай,/recepty/napitki/kljukvenno-malinovij-chaj-47808,Напитки,Русская кухня,,4,6,15 минут,4,0,332
Свекольник с кабачками,/recepty/supy/svekolnik-s-kabachkami-31982,Супы,Русская кухня,,8,4,1 час  10 минут,8,2,260
Ванильная панна-котта с манго в сиропе,/recepty/vypechka-deserty/vanilnaja-panna-kotta-s-mango-v-sirope-31603,Выпечка и десерты,Итальянская кухня,,8,4,30 минут,14,3,310
Суп из капусты и белых бобов,/recepty/supy/sup-iz-kapusti-belih-bobov-15587,Супы,Итальянская кухня,,14,6,1 час  30 минут,4,0,251
Зеленый борщ Елены Никифоровой,/recepty/supy/zelenyy-borsch-eleny-nikiforovoy-69240,Супы,Русская кухня,,12,10,1 час,5,1,286
Вареники с тыквой и беконом,/recepty/osnovnye-blyuda/vareniki-s-tykvoy-i-bekonom-152727,Основные блюда,Русская кухня,Пошаговые рецепты,13,6,2 часа,2,0,10
Вареники с капустой,/recepty/osnovnye-blyuda/vareniki-s-kapustoy-175427,Основные блюда,Русская кухня,Пошаговые рецепты,11,6,1 час,2,0,8
"Ризотто из чечевицы, перловки, гречки и дикого риса с фуа-гра и козьим сыром",/recepty/rizotto/rizotto-s-fua-gra-36098,Ризотто,Итальянская кухня,,9,2,45 минут,3,1,228
Рыбная ботвинья,/recepty/supy/rybnaya-botvinya-152553,Супы,Русская кухня,Пошаговые рецепты,16,5,1 час,1,0,8
"Консоме со звездчатой вермишелью, морковью и горошком",/recepty/supy/konsome-s-vermishelju-36061,Супы,Европейская кухня,Детское меню,15,6,5 часов,7,0,217
Салат из спаржи с козьим сыром,/recepty/salaty/salat-iz-sparzhi-s-kozim-sirom-37790,Салаты,Европейская кухня,Вегетарианская еда,10,3,25 минут,6,0,219
Суп из кабачков  с заправкой из зеленого базилика,/recepty/supy/sup-iz-kabachkov-s-zapravkoj-iz-zelenogo-bazilika-24292,Супы,Европейская кухня,,17,6,1 час,9,0,214
Кукуруза в молоке,/recepty/zakuski/kukuruza-v-moloke-187028,Закуски,Русская кухня,Пошаговые рецепты,6,4,40 минут,4,0,9
Гречка с ближневосточным соусом схуг,/recepty/osnovnye-blyuda/grechka-s-blizhnevostochnym-sousom-shug-174645,Основные блюда,Авторская кухня,Постная еда,10,2,30 минут,2,0,9
Вареники с грибами,/recepty/osnovnye-blyuda/vareniki-s-gribami-175429,Основные блюда,Русская кухня,Пошаговые рецепты,9,6,1 час,3,0,7
Яблочный холодец,/recepty/vypechka-deserty/yablochnyy-holodec-174406,Выпечка и десерты,Русская кухня,Пошаговые рецепты,9,12,1 час,1,0,7
Классический оливье с колбасой и свежими огурцами,/recepty/salaty/klassicheskiy-olive-s-kolbasoy-i-svezhimi-ogurcami-175180,Салаты,Русская кухня,Пошаговые рецепты,13,8,30 минут,2,0,7
Классический оливье с языком и яблоком,/recepty/salaty/klassicheskiy-olive-s-yazykom-i-yablokom-175174,Салаты,Русская кухня,Пошаговые рецепты,13,8,30 минут,1,0,7
Курник,/recepty/vypechka-deserty/kurnik-92200,Выпечка и десерты,Русская кухня,,11,8,2 часа,4,1,201
Мимоза с консервами,/recepty/salaty/mimoza-s-konservami-187611,Салаты,Русская кухня,Пошаговые рецепты,8,8,1 час,1,0,7
Лосось с ванильным соусом и укропной сметаной,/recepty/zakuski/losos-s-vanilnim-sousom-i-ukropnoj-smetanoj-34946,Закуски,,,14,6,30 минут,4,0,199
Рыбный суп с помидорами и белым вином,/recepty/supy/ribnij-sup-s-pomidorami-i-belim-vinom-37796,Супы,Европейская кухня,,9,1,20 минут,12,0,192
Зеленый борщ,/recepty/supy/zelenij-borsch-29214,Супы,Украинская кухня,,14,12,40 минут,10,4,231
Безалкогольный коктейль «Облачный Неаполь» с молочным улуном,/recepty/napitki/bezalkogolnyy-kokteyl-oblachnyy-neapol-s-molochnym-ulunom-174189,Напитки,Европейская кухня,,3,1,5 минут,1,0,2
Куриный бульон с манными кнедликами,/recepty/supy/kurinyy-bulon-s-mannymi-knedlikami-151568,Супы,Одесская кухня,Пошаговые рецепты,10,6,4 часа,2,0,8
Классическая «Мимоза»,/recepty/salaty/klassicheskaya-mimoza-187830,Салаты,Русская кухня,Пошаговые рецепты,8,8,1 час  30 минут,1,0,8
Курица со сладким перцем и копченой паприкой,/recepty/osnovnye-blyuda/kurica-so-sladkim-percem-i-kopchenoj-paprikoj-32322,Основные блюда,Испанская кухня,,10,4,40 минут,12,2,217
Матлот из карпа,/recepty/osnovnye-blyuda/matlot-iz-karpa-30696,Основные блюда,Французская кухня,,14,10,1 час,6,1,181
Классический оливье с курицей,/recepty/salaty/klassicheskiy-olive-s-kuricey-175169,Салаты,Русская кухня,Пошаговые рецепты,11,8,30 минут,1,0,6
Тыква с апельсином,/recepty/zagotovki/tykva-s-apelsinom-187576,Заготовки,Русская кухня,Пошаговые рецепты,9,12,1 час  30 минут,3,0,6
Тосканский суп риболлита с фасолью и ветчиной,/recepty/supy/toskanskiy-sup-ribollita-s-fasolyu-i-vetchinoy-187215,Супы,Итальянская кухня,Пошаговые рецепты,15,6,40 минут,4,0,6
Иранский плов,/recepty/osnovnye-blyuda/iranskij-plov-27691,Основные блюда,Туркменская кухня,,21,12,2 часа,6,2,170
Оливье с уткой,/recepty/salaty/olive-s-utkoj-55951,Салаты,Французская кухня,,17,10,30 минут,3,1,205
Римский цыпленок,/recepty/osnovnye-blyuda/rimskiy-cyplenok-187216,Основные блюда,Итальянская кухня,Пошаговые рецепты,9,6,1 час  30 минут,1,0,7
Куриная печень в специях,/recepty/zakuski/kurinaya-pechen-v-speciyah-175900,Закуски,Авторская кухня,Пошаговые рецепты,10,4,20 минут,2,0,7
Постная каша из булгура с индийскими специями,/recepty/osnovnye-blyuda/postnaya-kasha-iz-bulgura-s-indiyskimi-speciyami-176026,Основные блюда,Индийская кухня,Пошаговые рецепты,15,4,45 минут,1,0,7
Яйцо пашот со щавелевым песто и льняным бисквитом,/recepty/zakuski/jajco-pashot-so-shhavelevim-pesto-i-lnjanim-biskvitom-42987,Закуски,Французская кухня,,8,1,10 минут,8,0,164
Спаржа со свеклой и фенхелем,/recepty/zakuski/sparzha-so-svekloj-fenhelem-23795,Закуски,Европейская кухня,Веганская еда,10,2,20 минут,6,0,164
Равиоли с рикоттой в апельсиновом соусе с фрикасе из фруктов,/recepty/pasta-picca/ravioli-s-rikottoj-v-apelsinovom-souse-s-frikase-iz-fruktov-31642,Паста и пицца,Итальянская кухня,,15,6,30 минут,4,0,161
Борщ с хреном,/recepty/supy/borsch-s-hrenom-29213,Супы,Украинская кухня,,18,6,50 минут,8,1,154
Оливье с горошком,/recepty/salaty/olive-s-goroshkom-187613,Салаты,Русская кухня,Пошаговые рецепты,12,12,1 час  30 минут,2,0,5
Пельмени с мясом,/recepty/osnovnye-blyuda/pelmeni-s-myasom-175424,Основные блюда,Русская кухня,Пошаговые рецепты,15,6,1 час,2,1,6
Оливье с колбасой и горошком,/recepty/salaty/olive-s-kolbasoy-i-goroshkom-187614,Салаты,Русская кухня,Пошаговые рецепты,11,12,1 час  30 минут,1,0,6
Сок из тыквы,/recepty/zagotovki/sok-iz-tykvy-187570,Заготовки,Русская кухня,Пошаговые рецепты,4,15,1 час,1,0,6
Грибная лапша,/recepty/supy/gribnaya-lapsha-187466,Супы,Русская кухня,Пошаговые рецепты,14,4,1 час,4,0,6
Краб с цветной капустой,/recepty/zakuski/krab-s-cvetnoj-kapustoj-47836,Закуски,Американская кухня,,10,4,40 минут,6,0,133
Рыжики в сметанно-горчичном соусе,/recepty/zakuski/rizhiki-v-smetanno-gorchichnom-souse-35326,Закуски,Вегетарианская еда,,12,4,20 минут,10,2,126
Лингвини с вонголе,/recepty/pasta-picca/lingvini-s-vongole-31955,Паста и пицца,Французская кухня,,9,6,10 минут,4,0,152
Супертост с авокадо,/recepty/zavtraki/supertost-s-avokado-137504,Завтраки,Европейская кухня,,11,2,20 минут,2,0,128
Сельдь под шубой классическая,/recepty/salaty/seld-pod-shuboy-klassicheskaya-187803,Салаты,Русская кухня,Пошаговые рецепты,8,8,1 час  30 минут,1,0,4
Оливье с красной рыбой,/recepty/salaty/olive-s-krasnoy-ryboy-187911,Салаты,Русская кухня,Пошаговые рецепты,10,6,40 минут,1,0,4
Классическая солянка,/recepty/supy/klassicheskaya-solyanka-187608,Супы,Русская кухня,Пошаговые рецепты,18,12,3 часа,1,0,4
Соленые огурцы на зиму,/recepty/zagotovki/solenye-ogurcy-na-zimu-174033,Заготовки,Русская кухня,Пошаговые рецепты,8,6,30 минут,1,0,4
Огурцы по-фински на зиму,/recepty/zagotovki/ogurcy-po-finski-na-zimu-187084,Заготовки,Финская кухня,Пошаговые рецепты,7,10,30 минут,3,0,4
Пиде с тремя видами сыра,/recepty/vypechka-deserty/pide-s-tremya-vidami-syra-125960,Выпечка и десерты,Турецкая кухня,,9,2,20 минут,2,0,150
Заготовка для щей,/recepty/zagotovki/zagotovka-dlya-schey-187076,Заготовки,Русская кухня,Пошаговые рецепты,11,24,1 час,1,0,5
Пельмени с курицей,/recepty/osnovnye-blyuda/pelmeni-s-kuricey-175426,Основные блюда,Русская кухня,Пошаговые рецепты,14,6,1 час,1,0,5
Конфета-торт,/recepty/vypechka-deserty/konfeta-tort-46984,Выпечка и десерты,,,13,30,50 минут,2,1,122
Фальшивый бутерброд с икрой,/recepty/vypechka-deserty/falshivyy-buterbrod-s-ikroy-152105,Выпечка и десерты,Авторская кухня,Пошаговые рецепты,8,10,1 час,1,0,4
Турецкая перловая каша кешкек,/recepty/osnovnye-blyuda/tureckaya-perlovaya-kasha-keshkek-187082,Основные блюда,Турецкая кухня,Пошаговые рецепты,6,4,2 часа,2,0,4
Высокобелковый постный салат с веганской курицей,/recepty/salaty/vysokobelkovyy-postnyy-salat-s-veganskoy-kuricey-176029,Салаты,Авторская кухня,Пошаговые рецепты,14,4,30 минут,1,0,4
"Облепиха, протертая с сахаром",/recepty/zagotovki/oblepiha-protertaya-s-saharom-93943,Заготовки,Русская кухня,,2,3,1 час  40 минут,6,1,121
Трофие с песто и креветками,/recepty/osnovnye-blyuda/trofie-s-pesto-i-krevetkami-46527,Основные блюда,Итальянская кухня,,9,2,1 час,2,0,118
Гречка с куриными сердечками,/recepty/osnovnye-blyuda/grechka-s-kurinymi-serdechkami-126493,Основные блюда,Русская кухня,,15,4,40 минут,3,1,118
Вареники с тремя видами мяса,/recepty/osnovnye-blyuda/vareniki-s-tremja-vidami-mjasa-41378,Основные блюда,Русская кухня,,9,5,45 минут,4,0,111
Вегетарианские фаршированные перцы,/recepty/osnovnye-blyuda/vegetarianskie-farshirovannye-percy-137172,Основные блюда,Русская кухня,Вегетарианская еда,17,5,2 часа,5,0,113
Домашний сыр с водорослями,/recepty/zakuski/domashnij-sir-s-vodorosljami-47833,Закуски,Японская кухня,,13,1,20 минут,3,1,111
Лимонные креветки,/recepty/zakuski/limonnie-krevetki-20191,Закуски,,,11,6,1 час,4,1,110
Бургеры из гречки с грибами,/recepty/osnovnye-blyuda/burgery-iz-grechki-s-gribami-29612,Основные блюда,Авторская кухня,,15,4,40 минут,4,1,109
Рассыпчатая гречка с яблочно-морковным шотом,/recepty/zavtraki/rassypchataya-grechka-s-yablochno-morkovnym-shotom-57600,Завтраки,Европейская кухня,,9,2,30 минут,5,1,106
Жидкий винегрет,/recepty/salaty/zhidkij-vinegret-20241,Салаты,Русская кухня,,13,4,1 час,9,6,107
Картофельные ньокки с томленой уткой,/recepty/osnovnye-blyuda/kartofelnye-nokki-s-tomlenoy-utkoy-136647,Основные блюда,Итальянская кухня,,9,4,3 часа  10 минут,6,0,106
Борщ посладкий,/recepty/supy/borsch-posladkij-30987,Супы,Украинская кухня,,18,12,6 часов,11,1,106
Холодец из свиных ножек,/recepty/zakuski/holodec-iz-svinyh-nozhek-187912,Закуски,Русская кухня,Пошаговые рецепты,10,10,7 часов  30 минут,1,0,4
Салат «Под шубой»,/recepty/salaty/salat-pod-shuboy-187812,Салаты,Русская кухня,Пошаговые рецепты,9,8,1 час,3,0,4
Классический оливье с колбасой и яблоком,/recepty/salaty/klassicheskiy-olive-s-kolbasoy-i-yablokom-175170,Салаты,Русская кухня,Пошаговые рецепты,14,10,30 минут,1,0,4
Спагетти из молодого кабачка с фрикадельками,/recepty/pasta-picca/spagetti-iz-molodogo-kabachka-s-frikadelkami-125886,Паста и пицца,Итальянская кухня,,14,4,1 час  30 минут,5,1,102
Чечевичная похлебка на бараньем бульоне,/recepty/supy/chechevichnaya-pohlebka-na-baranem-bulone-53825,Супы,Еврейская кухня,,13,10,20 минут,4,2,104
Вареники с телятиной,/recepty/osnovnye-blyuda/vareniki-s-teljatinoj-41376,Основные блюда,Русская кухня,,11,5,45 минут,2,0,122
«‎Мимоза» с сыром,/recepty/salaty/mimoza-s-syrom-187833,Салаты,Русская кухня,Пошаговые рецепты,8,8,1 час  30 минут,1,0,3
Яйца в луковой шелухе,/recepty/zakuski/yayca-v-lukovoy-sheluhe-173457,Закуски,Русская кухня,Пошаговые рецепты,5,10,30 минут,2,0,3
Постные вареники с картошкой и грибами,/recepty/osnovnye-blyuda/postnye-vareniki-s-kartoshkoy-i-gribami-176088,Основные блюда,Русская кухня,Пошаговые рецепты,9,6,1 час  30 минут,1,0,3
Заливные яйца,/recepty/zakuski/zalivnye-yayca-173846,Закуски,Русская кухня,Пошаговые рецепты,10,6,50 минут,1,0,3
Немецкий картофельный салат со сливочным хреном,/recepty/salaty/nemeckiy-kartofelnyy-salat-so-slivochnym-hrenom-140149,Салаты,Авторская кухня,,12,2,15 минут,5,0,96
Пончики с клубнично-ванильной начинкой,/recepty/vypechka-deserty/ponchiki-s-klubnichno-vanilnoy-nachinkoy-57355,Выпечка и десерты,,,8,6,25 минут,3,0,89
Салат «Уолдорф» с креветками,/recepty/salaty/salat-uoldorf-s-krevetkami-125885,Салаты,Авторская кухня,,12,4,15 минут,1,1,88
Суп из спаржи с чипсами из пармской ветчины,/recepty/supy/sup-iz-sparzhi-s-chipsami-iz-parmskoj-vetchini-42990,Супы,Европейская кухня,,12,6,30 минут,2,0,88
Карбонара с цукини и фрикадельками,/recepty/pasta-picca/karbonara-s-cukini-frikadelkami-30549,Паста и пицца,Итальянская кухня,Пошаговые рецепты,10,6,45 минут,56,8,1479
Оливье со слабосоленым лососем и яблоком,/recepty/salaty/olive-so-slabosolenym-lososem-i-yablokom-91631,Салаты,Русская кухня,,23,6,30 минут,1,0,85
"Холодный мисо-суп с лососем, шиитаке и бобами эдамамэ",/recepty/supy/holodnyy-miso-sup-s-lososem-shiitake-i-bobami-edamame-186656,Супы,Японская кухня,Пошаговые рецепты,8,4,30 минут,1,0,3
Гречка с лесными грибами и соевым мясом,/recepty/osnovnye-blyuda/grechka-s-lesnymi-gribami-i-soevym-myasom-176032,Основные блюда,Русская кухня,Постная еда,10,4,30 минут,1,0,3
Классический оливье с мясом и яблоком,/recepty/salaty/klassicheskiy-olive-s-myasom-i-yablokom-175178,Салаты,Русская кухня,Пошаговые рецепты,12,8,30 минут,1,0,3
Рахмановские щи,/recepty/osnovnye-blyuda/rahmanovskie-schi-125267,Основные блюда,Русская кухня,,9,6,3 часа,4,0,95
Классический заварной крем,/recepty/vypechka-deserty/klassicheskiy-zavarnoy-krem-140399,Выпечка и десерты,Французская кухня,,6,8,2 часа,5,1,79
Салат с картошкой и копчеными колбасками,/recepty/salaty/salat-s-kartoshkoy-i-kopchenymi-kolbaskami-125110,Салаты,Европейская кухня,,9,4,45 минут,6,0,76
"Равиоли с цукини, рукколой и сливочным сыром",/recepty/pasta-picca/ravioli-s-cukini-rukkoloj-slivochnim-sirom-31858,Паста и пицца,Итальянская кухня,Пошаговые рецепты,8,4,1 час  30 минут,40,0,1296
Запеканка пармантье с уткой,/recepty/osnovnye-blyuda/zapekanka-parmante-s-utkoy-187921,Основные блюда,Французская кухня,Пошаговые рецепты,13,8,1 час,2,0,2
Крашеные яйца с мраморным узором,/recepty/zakuski/krashenye-yayca-s-mramornym-uzorom-173459,Закуски,Русская кухня,Пошаговые рецепты,5,5,1 час,1,0,2
Яйца пашот в сувиде,/recepty/zavtraki/yayca-pashot-v-suvide-187089,Завтраки,Французская кухня,Пошаговые рецепты,3,5,40 минут,2,0,2
Салат с жареными грибами и курицей,/recepty/salaty/salat-s-zharenymi-gribami-i-kuricey-187909,Салаты,Авторская кухня,Пошаговые рецепты,8,10,2 часа,2,0,2
Антрекот с зеленой фасолью и соусом из абрикосов и кинзы,/recepty/osnovnye-blyuda/antrekot-s-zelenoj-fasolju-i-sousom-iz-abrikosov-i-kinzi-37753,Основные блюда,Французская кухня,,13,4,40 минут,3,0,82
Брокколи в соусе карри,/recepty/zakuski/brokkoli-v-souse-karri-138423,Закуски,Европейская кухня,Вегетарианская еда,13,1,25 минут,1,0,67
Паэлья с омаром,/recepty/osnovnye-blyuda/pajelja-s-omarom-37214,Основные блюда,Испанская кухня,,11,4,30 минут,1,0,63
Вареники с квашеной капустой,/recepty/osnovnye-blyuda/vareniki-s-kvashenoy-kapustoy-175428,Основные блюда,Русская кухня,Пошаговые рецепты,9,6,1 час,1,0,2
Петух в клюквенном бульоне с лапшой и глазированными овощами,/recepty/osnovnye-blyuda/petuh-v-kljukvennom-bulone-35324,Основные блюда,,,14,8,2 часа,3,0,60
Веганское ризотто с белыми грибами,/recepty/rizotto/veganskoe-rizotto-s-belymi-gribami-125337,Ризотто,Итальянская кухня,,13,2,40 минут,2,1,69
Тальятелле с креветками и соусом том-ям,/recepty/pasta-picca/talyatelle-s-krevetkami-i-sousom-tom-yam-139981,Паста и пицца,Авторская кухня,,14,2,20 минут,3,0,57
Стейк из цветной капусты с соусом чимичурри,/recepty/osnovnye-blyuda/steyk-iz-cvetnoy-kapusty-s-sousom-chimichurri-138422,Основные блюда,Европейская кухня,Веганская еда,9,1,20 минут,1,0,53
Зеленые вареники со шпинатом и брынзой,/recepty/osnovnye-blyuda/zelenye-vareniki-so-shpinatom-i-brynzoy-137805,Основные блюда,Русская кухня,Вегетарианская еда,9,7,1 час,1,0,53
